"";"A.Sapkowski_Miecz_przeznaczenia_fragment";"A.Sapkowski_Ostatnie_¿yczenie_fragment";"A.Sapkowski_Pani_Jeziora_fragment";"A.Sapkowski_Wie¿a_Jaskó³ki_fragment";"Bhagawatam_Œrimad_Damodara_lila_fragment";"C.Sagan_Kontakt_fragment";"C.Sagan_Kontakt_fragment2";"C.Sagan_Miliardy_Miliardy";"C.Sagan_Swiat_nawiedzany_przez_demony_fragment";"J.R.R.Tolkien_Dwie-Wie¿e_fragment";"J.R.R.Tolkien_Hobbit_fragment";"J.R.R.Tolkien_Powrót-Króla_fragment";"J.R.R.Tolkien_Wyprawa_frament";"Komentarz_do_Ewangelii_wg_Œw._Mateusza_fragment";"£.Siatkowski_Opowieœci_biblijne_fragment";"P.Skarga_¯ywoty_Pañskich_Œwiêtych";"S.Lem_Czlowiek_z_Marsa_fragment";"S.Lem_Odruch_warunkowy";"S.Lem_Pokoj_na_Ziemi_fragment";"S.Lem_Powrot_z_Gwiazd_frament"
"albowiem";1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
"bardziej";0;0;0;1;0;1;0;0;2;0;0;0;0;4;0;2;0;0;0;0
"bezpoœredni";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"bia³a";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bia³y";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
"biegaæ";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biodro";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blask";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bliski";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1
"b³yszczeæ";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bolesny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"bo¿e";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0
"bóg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0
"ból";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"braæ";0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"broniæ";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1
"brzeg";1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2
"brzmi¹cy";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ca³kowity";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"ca³y";0;0;0;0;2;0;2;1;0;0;0;0;0;2;6;2;0;1;0;0
"chcieæ";1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
"chêæ";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"chêtny";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"chleb";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0
"ch³odny";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"chocia¿";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"choæby";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"chodziæ";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0
"chwila";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"chwilê";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"cia³o";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"ci¹gn¹æ";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"cichy";0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"ciebie";0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0
"ciemno";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
"ciemny";0;1;1;0;1;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0
"cierpienie";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
"ciê";0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0
"ciê¿ki";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cokolwiek";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"córka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"czarny";0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0
"czary";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"czas";1;0;0;1;2;0;1;1;0;0;0;0;0;0;2;1;0;4;0;0
"czerwone";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"czêœæ";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"cz³owiek";0;0;0;1;0;0;1;1;0;0;0;0;0;1;4;0;0;1;0;0
"czo³o";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"czterdzieœci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"cztery";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"czuæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"czym";1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
"czyn";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"czyniæ";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"czytaæ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"daæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"dalej";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
"daleki";0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;1;0
"dalszy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"deszcz";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d³oñ";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d³ugi";0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;2;0;0;1;0
"dnia";0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"dno";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"dobry";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"dobrze";0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0
"dochodziæ";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
"dok³adny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"dokonaæ";0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
"doktora";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"dolina";1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"domu";0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;1;0;0;1
"doniesienie";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
"donieœæ";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"dooko³a";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"doœæ";0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
"dot¹d";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"dotkn¹æ";0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"dotrzeæ";0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0
"dotykaæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"dowódca";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"dó³";1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"drewniany";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"drogi";0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0
"drugi";1;0;2;1;0;0;0;6;0;0;0;1;0;0;4;1;0;1;0;2
"drzewo";0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
"dr¿eæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"dusza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0
"du¿y";0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0
"dwa";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"dwie";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"dwoma";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"dwóch";0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0
"dzieci";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"dzieciñstwo";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"dzieñ";0;0;0;0;0;0;1;0;0;0;1;0;1;0;10;2;0;0;0;0
"dziesiêæ";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"dziewczyna";1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dziœ";0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"dziwny";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"dŸwiêk";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"elektryczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"emocjonalny";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"fakt";1;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0
"fala";1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
"falowaæ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"fa³szywy";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"fotel";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"frodo";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"garnek";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"g³az";0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"g³êboki";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"g³os";0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1
"g³owa";0;1;1;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;2;0
"g³ód";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gor¹cy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gotowaæ";0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"góra";0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
"grzbiet";0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"grzech";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
"historia";0;0;0;0;1;0;0;1;1;0;2;0;0;1;0;0;0;0;0;0
"hobbit";0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0
"idŸ";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"imiê";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0
"inny";0;0;0;1;2;1;0;1;2;0;1;0;0;3;1;1;1;1;0;0
"istnieæ";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"istny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"istota";0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"iœæ";0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
